"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Page_Component_Styles\Object_Item_NavMenu.css", "CSS", 0, 0, 0, 0, 0, 0, 141, 0, 0, 38, 62, 241
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Page_Component_Styles\Object_Item_NavOptionsMenu.css", "CSS", 0, 0, 0, 0, 0, 0, 224, 0, 0, 61, 80, 365
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Page_Component_Styles\Object_Item_Text.css", "CSS", 0, 0, 0, 0, 0, 0, 248, 0, 0, 46, 58, 352
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Page_Component_Styles\Object_item_Modal_Alert.css", "CSS", 0, 0, 0, 0, 0, 0, 79, 0, 0, 21, 21, 121
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Page_Main_Styles.css", "CSS", 0, 0, 0, 0, 0, 0, 36, 0, 0, 21, 22, 79
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\SplashScreen.css", "CSS", 0, 0, 0, 0, 0, 0, 141, 0, 0, 5, 35, 181
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\Styles_Eddies_Carousel.css", "CSS", 0, 0, 0, 0, 0, 0, 89, 0, 0, 15, 27, 131
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\CSS\slider.css", "CSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 7, 27
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\DebugMobileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 214, 0, 0, 0, 2, 55, 271
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\DebugScreens.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 48, 214
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Drag_Zone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 146, 0, 0, 0, 14, 75, 235
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Eddies_Custom_Carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 0, 36, 77, 273
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Eddies_Custom_Carousel_Dots.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 12, 16, 62
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Eddies_Custom_Carousel_Item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 404, 0, 0, 0, 41, 143, 588
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Object_Modal_ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 33, 81
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Object_Modal_LanguageSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 19, 89
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Object_Modal_OptOut.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 0, 1, 48, 191
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Object_Modal_ReportProblem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 123, 0, 0, 0, 11, 38, 172
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Object_Modal_SuggestFeature.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 0, 1, 39, 141
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Holder_Buttons_AnchoredBottom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 5, 13, 63
